experiment_id,display_name,evidence_type,inference_method,metric_id,metric_name,value_json,unit,scientific_role,qualification,source_path,source_key,source_sha256
phase1_oracle_probability,Phase 1 oracle 3-D probability guidance,truth-derived controllability upper bound,gradient guidance through frozen Flow integration,p1_roi_iou,Selected-ROI IoU,"{""baseline"": 0.035113658956849265, ""guided"": 0.93923418728028}",fraction,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,"metrics.selected_roi_iou.{baseline,guided}.mean",dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
phase1_oracle_probability,Phase 1 oracle 3-D probability guidance,truth-derived controllability upper bound,gradient guidance through frozen Flow integration,p1_condition_violations,Condition violations,0,voxels,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,gate.entries.zero_condition_violations.value,dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
phase1_oracle_probability,Phase 1 oracle 3-D probability guidance,truth-derived controllability upper bound,gradient guidance through frozen Flow integration,p1_paired_runs,Strict paired runs,12,pairs,primary,,project/geodata-3d-conditional/experiments/stage1_probability/reports/phase1b_v4_12pair/summary.json,n_pairs,dd25face4cf7f29d0d810b4506afb7fa0a873dd36dc8ba5a0f698b4edaaf2336
phase2a_ideal_property,Phase 2a ideal 3-D property guidance,truth-derived physical-property upper bound,two-channel differentiable property guidance through frozen Flow,p2_global_accuracy,Global voxel accuracy,"{""baseline"": 0.5972100545962652, ""guided"": 0.6381298899650574}",fraction,primary,,project/geodata-3d-conditional/experiments/stage2_property/reports/phase2a_v1_12pair/summary.json,"metrics.global_voxel_accuracy.{baseline,guided}.mean",943573d4ed0ccf428b0201deb02182dbfd8c667777e67c2e062e6cf849ecd10d
phase2a_ideal_property,Phase 2a ideal 3-D property guidance,truth-derived physical-property upper bound,two-channel differentiable property guidance through frozen Flow,p2_dynamic_miou,Global dynamic-union mIoU,"{""baseline"": 0.18044054011503854, ""guided"": 0.19801797345280647}",fraction,primary,,project/geodata-3d-conditional/experiments/stage2_property/reports/phase2a_v1_12pair/summary.json,"metrics.global_mean_iou.{baseline,guided}.mean",943573d4ed0ccf428b0201deb02182dbfd8c667777e67c2e062e6cf849ecd10d
phase2a_ideal_property,Phase 2a ideal 3-D property guidance,truth-derived physical-property upper bound,two-channel differentiable property guidance through frozen Flow,p2_truth_present_miou,Truth-present fixed-set mIoU,"{""baseline"": 0.27712642401456833, ""guided"": 0.34433496246735257}",fraction,primary,,project/geodata-3d-conditional/experiments/stage2_property/reports/phase2a_v1_12pair/summary.json,"metrics.truth_present_mean_iou.{baseline,guided}.mean",943573d4ed0ccf428b0201deb02182dbfd8c667777e67c2e062e6cf849ecd10d
phase2a_ideal_property,Phase 2a ideal 3-D property guidance,truth-derived physical-property upper bound,two-channel differentiable property guidance through frozen Flow,p2_hard_property_loss,Hard property loss,"{""baseline"": 1.478074053923289, ""guided"": 0.5186778654654821}",loss,primary,,project/geodata-3d-conditional/experiments/stage2_property/reports/phase2a_v1_12pair/summary.json,"metrics.hard_property_loss.{baseline,guided}.mean",943573d4ed0ccf428b0201deb02182dbfd8c667777e67c2e062e6cf849ecd10d
phase2a_ideal_property,Phase 2a ideal 3-D property guidance,truth-derived physical-property upper bound,two-channel differentiable property guidance through frozen Flow,p2_label9_iou,Label-9 IoU,"{""baseline"": 0.03144480434529132, ""guided"": 0.4807524758898813}",fraction,primary,,project/geodata-3d-conditional/experiments/stage2_property/reports/phase2a_v1_12pair/summary.json,"metrics.target_iou.{baseline,guided}.mean",943573d4ed0ccf428b0201deb02182dbfd8c667777e67c2e062e6cf849ecd10d
phase2a_ideal_property,Phase 2a ideal 3-D property guidance,truth-derived physical-property upper bound,two-channel differentiable property guidance through frozen Flow,p2_label9_precision,Label-9 precision,"{""baseline"": 0.07878691276852436, ""guided"": 0.903246328965435}",fraction,primary,,project/geodata-3d-conditional/experiments/stage2_property/reports/phase2a_v1_12pair/summary.json,"metrics.target_precision.{baseline,guided}.mean",943573d4ed0ccf428b0201deb02182dbfd8c667777e67c2e062e6cf849ecd10d
phase2a_ideal_property,Phase 2a ideal 3-D property guidance,truth-derived physical-property upper bound,two-channel differentiable property guidance through frozen Flow,p2_label9_recall,Label-9 recall,"{""baseline"": 0.05196253345227476, ""guided"": 0.507461715730003}",fraction,primary,,project/geodata-3d-conditional/experiments/stage2_property/reports/phase2a_v1_12pair/summary.json,"metrics.target_recall.{baseline,guided}.mean",943573d4ed0ccf428b0201deb02182dbfd8c667777e67c2e062e6cf849ecd10d
phase2a_ideal_property,Phase 2a ideal 3-D property guidance,truth-derived physical-property upper bound,two-channel differentiable property guidance through frozen Flow,p2_centroid_distance,Label-9 centroid distance,"{""baseline"": 16.951820214589436, ""guided"": 3.9824511408805847}",voxels,primary,,project/geodata-3d-conditional/experiments/stage2_property/reports/phase2a_v1_12pair/summary.json,"metrics.target_centroid_distance.{baseline,guided}.mean",943573d4ed0ccf428b0201deb02182dbfd8c667777e67c2e062e6cf849ecd10d
phase2a_ideal_property,Phase 2a ideal 3-D property guidance,truth-derived physical-property upper bound,two-channel differentiable property guidance through frozen Flow,p2_condition_violations,Condition violations,0,voxels,primary,,project/geodata-3d-conditional/experiments/stage2_property/reports/phase2a_v1_12pair/paired_samples.csv,sum(condition_violation_count) over all paired rows,7765c7c5c505bec4d0a80b8a7a7b07b38748b9d7c689ce827b129b8017823301
phase2a_ideal_property,Phase 2a ideal 3-D property guidance,truth-derived physical-property upper bound,two-channel differentiable property guidance through frozen Flow,p2_paired_runs,Strict paired runs,12,pairs,primary,,project/geodata-3d-conditional/experiments/stage2_property/reports/phase2a_v1_12pair/summary.json,n_pairs,943573d4ed0ccf428b0201deb02182dbfd8c667777e67c2e062e6cf849ecd10d
stage6_direct_geophysical,Direct geophysical gradient guidance,synthetic acquisition-domain diagnostic,direct continuous-state seismic gradient guidance,s6_seismic_soft_attainment,Seismic soft attainment (max/final),"[0.19093868190850125, 0.19093868190850125]",fraction,diagnostic,,project/geodata-3d-conditional/experiments/stage6_inference_causality/diagnostic_verdict.json,hypotheses[id=H7].relevant_metric.seismic_max_final_soft,0c823db27a012fa1789874ffd5e9e2b5493fc9c843c2ff50f7942d70704186b0
stage6_direct_geophysical,Direct geophysical gradient guidance,synthetic acquisition-domain diagnostic,direct continuous-state seismic gradient guidance,s6_seismic_hard_attainment,Seismic hard attainment (max/final),"[0.024435381606903943, -0.007974373489145252]",fraction,diagnostic,,project/geodata-3d-conditional/experiments/stage6_inference_causality/diagnostic_verdict.json,hypotheses[id=H7].relevant_metric.seismic_max_final_hard,0c823db27a012fa1789874ffd5e9e2b5493fc9c843c2ff50f7942d70704186b0
stage6_direct_geophysical,Direct geophysical gradient guidance,synthetic acquisition-domain diagnostic,direct continuous-state seismic gradient guidance,s6_first_divergent_level,First soft-hard divergent level,"""L3 reflectivity/TWT""",categorical level,diagnostic,,project/geodata-3d-conditional/experiments/stage6_inference_causality/diagnostic_verdict.json,hypotheses[id=H7].relevant_metric.first_divergent_level,0c823db27a012fa1789874ffd5e9e2b5493fc9c843c2ff50f7942d70704186b0
stage6_direct_geophysical,Direct geophysical gradient guidance,synthetic acquisition-domain diagnostic,direct continuous-state seismic gradient guidance,s6_best_hard_step,Observation-selected best hard step,126,step,diagnostic,,project/geodata-3d-conditional/experiments/stage6_inference_causality/diagnostic_verdict.json,hypotheses[id=H13].relevant_metric.D3_observation_selected_best_step,0c823db27a012fa1789874ffd5e9e2b5493fc9c843c2ff50f7942d70704186b0
stage7_structured_hard_seismic,Stage 7 structured hard-seismic inference,bounded structured geophysical inference,hard-seismic beam search over a registered structured hypothesis family,s7_correct_rank_first,Correct observation ranks first,3,cases,primary,,project/geodata-3d-conditional/experiments/stage6_inference_causality/reports/stage7_v1_final_v2/stage7_summary.json,native_replicas[*].correct_optimized_is_best_against_correct,52e4a1d24ddde0fcfaecaf1bd2b707e10a1db04d16faabed3fc46c6b211e4a98
stage7_structured_hard_seismic,Stage 7 structured hard-seismic inference,bounded structured geophysical inference,hard-seismic beam search over a registered structured hypothesis family,s7_registered_case_count,Registered native cases,3,cases,primary,,project/geodata-3d-conditional/experiments/stage6_inference_causality/reports/stage7_v1_final_v2/stage7_summary.json,len(native_replicas),52e4a1d24ddde0fcfaecaf1bd2b707e10a1db04d16faabed3fc46c6b211e4a98
stage7_structured_hard_seismic,Stage 7 structured hard-seismic inference,bounded structured geophysical inference,hard-seismic beam search over a registered structured hypothesis family,s7_mean_hard_attainment,Mean correct hard attainment,0.4269522824226746,fraction,primary,,project/geodata-3d-conditional/experiments/stage6_inference_causality/reports/stage7_v1_final_v2/stage7_summary.json,mean(native_replicas[*].arms[optimized_by=correct].hard_correct_observation_attainment),52e4a1d24ddde0fcfaecaf1bd2b707e10a1db04d16faabed3fc46c6b211e4a98
stage7_structured_hard_seismic,Stage 7 structured hard-seismic inference,bounded structured geophysical inference,hard-seismic beam search over a registered structured hypothesis family,s7_hidden_iou_range,Hidden label-9 IoU range,"[0.9141716566866267, 0.9874266554903605]",fraction,primary,,project/geodata-3d-conditional/experiments/stage6_inference_causality/reports/stage7_v1_final_v2/stage7_summary.json,range(native_replicas[*].arms[optimized_by=correct].hidden_target_iou),52e4a1d24ddde0fcfaecaf1bd2b707e10a1db04d16faabed3fc46c6b211e4a98
stage7_structured_hard_seismic,Stage 7 structured hard-seismic inference,bounded structured geophysical inference,hard-seismic beam search over a registered structured hypothesis family,s7_hidden_recall_range,Hidden label-9 recall range,"[0.916, 0.9957537154989384]",fraction,primary,,project/geodata-3d-conditional/experiments/stage6_inference_causality/reports/stage7_v1_final_v2/stage7_summary.json,range(native_replicas[*].arms[optimized_by=correct].hidden_target_recall),52e4a1d24ddde0fcfaecaf1bd2b707e10a1db04d16faabed3fc46c6b211e4a98
stage7_structured_hard_seismic,Stage 7 structured hard-seismic inference,bounded structured geophysical inference,hard-seismic beam search over a registered structured hypothesis family,s7_condition_violations,Condition violations,0,voxels,primary,,project/geodata-3d-conditional/experiments/stage6_inference_causality/reports/stage7_v1_final_v2/stage7_summary.json,sum(native_replicas[*].arms[optimized_by=correct].condition_violations),52e4a1d24ddde0fcfaecaf1bd2b707e10a1db04d16faabed3fc46c6b211e4a98
stage7_structured_hard_seismic,Stage 7 structured hard-seismic inference,bounded structured geophysical inference,hard-seismic beam search over a registered structured hypothesis family,s7_hero_rmse,Hero hard seismic RMSE,"{""after"": 0.00431425217539072, ""before"": 0.010582241229712963}",RMSE,primary,,project/geodata-3d-conditional/experiments/stage6_inference_causality/reports/stage7_v1_final_v2/stage7_summary.json,native_replicas[case_id=native_seed20260809].arms[optimized_by=zero|correct].hard_correct_observation_rmse,52e4a1d24ddde0fcfaecaf1bd2b707e10a1db04d16faabed3fc46c6b211e4a98
stage7_structured_hard_seismic,Stage 7 structured hard-seismic inference,bounded structured geophysical inference,hard-seismic beam search over a registered structured hypothesis family,s7_hero_hidden_iou,Hero hidden label-9 IoU,"{""after"": 0.9874266554903605, ""before"": 0.0}",fraction,primary,,project/geodata-3d-conditional/experiments/stage6_inference_causality/reports/stage7_v1_final_v2/stage7_summary.json,native_replicas[case_id=native_seed20260809].arms[optimized_by=zero|correct].hidden_target_iou,52e4a1d24ddde0fcfaecaf1bd2b707e10a1db04d16faabed3fc46c6b211e4a98
stage9a_unrestricted_flow_prior,Stage 9A unrestricted frozen-Flow ranking,prior-support and discrimination audit,unrestricted frozen-Flow sampling followed by hard-seismic ranking,s9_samples_per_case,Frozen-Flow samples per case,1024,samples/case,primary,,project/geodata-3d-conditional/experiments/stage9_flow_prior_posterior/reports/stage9a_prior_support_v1/summary.json,formal_candidates_per_case,f801684109f85218742f85531887b7cd12d2cc794e4fef8069310f2e3cfb837b
stage9a_unrestricted_flow_prior,Stage 9A unrestricted frozen-Flow ranking,prior-support and discrimination audit,unrestricted frozen-Flow sampling followed by hard-seismic ranking,s9_case_count,Primary registered cases,3,cases,primary,,project/geodata-3d-conditional/experiments/stage9_flow_prior_posterior/reports/stage9a_prior_support_v1/summary.json,primary_case_count,f801684109f85218742f85531887b7cd12d2cc794e4fef8069310f2e3cfb837b
stage9a_unrestricted_flow_prior,Stage 9A unrestricted frozen-Flow ranking,prior-support and discrimination audit,unrestricted frozen-Flow sampling followed by hard-seismic ranking,s9_unique_hard_models,Unique hard models,3072,models,primary,,project/geodata-3d-conditional/experiments/stage9_flow_prior_posterior/reports/stage9a_prior_support_v1/summary.json,sum(cases[*].ensemble.unique_hard_model_count),f801684109f85218742f85531887b7cd12d2cc794e4fef8069310f2e3cfb837b
stage9a_unrestricted_flow_prior,Stage 9A unrestricted frozen-Flow ranking,prior-support and discrimination audit,unrestricted frozen-Flow sampling followed by hard-seismic ranking,s9_flow_velocity_forwards,Flow velocity forwards,98304,forwards,primary,,project/geodata-3d-conditional/experiments/stage9_flow_prior_posterior/reports/stage9a_prior_support_v1/summary.json,flow_velocity_forward_count_total,f801684109f85218742f85531887b7cd12d2cc794e4fef8069310f2e3cfb837b
stage9a_unrestricted_flow_prior,Stage 9A unrestricted frozen-Flow ranking,prior-support and discrimination audit,unrestricted frozen-Flow sampling followed by hard-seismic ranking,s9_hard_seismic_forwards,Hard seismic forwards,3072,forwards,primary,,project/geodata-3d-conditional/experiments/stage9_flow_prior_posterior/reports/stage9a_prior_support_v1/summary.json,hard_seismic_forward_count_total,f801684109f85218742f85531887b7cd12d2cc794e4fef8069310f2e3cfb837b
stage9a_unrestricted_flow_prior,Stage 9A unrestricted frozen-Flow ranking,prior-support and discrimination audit,unrestricted frozen-Flow sampling followed by hard-seismic ranking,s9_support_pass_count,Support pass count,0,cases,primary,,project/geodata-3d-conditional/experiments/stage9_flow_prior_posterior/reports/stage9a_prior_support_v1/summary.json,support_case_pass_count,f801684109f85218742f85531887b7cd12d2cc794e4fef8069310f2e3cfb837b
stage9a_unrestricted_flow_prior,Stage 9A unrestricted frozen-Flow ranking,prior-support and discrimination audit,unrestricted frozen-Flow sampling followed by hard-seismic ranking,s9_discrimination_pass_count,Discrimination pass count,0,cases,primary,,project/geodata-3d-conditional/experiments/stage9_flow_prior_posterior/reports/stage9a_prior_support_v1/summary.json,discrimination_case_pass_count,f801684109f85218742f85531887b7cd12d2cc794e4fef8069310f2e3cfb837b
stage9a_unrestricted_flow_prior,Stage 9A unrestricted frozen-Flow ranking,prior-support and discrimination audit,unrestricted frozen-Flow sampling followed by hard-seismic ranking,s9_oracle_best_label9_iou,Oracle-best label-9 IoU by case,"{""native_seed20260901"": 0.11701541850220264, ""native_seed20260902"": 0.13477816017114688, ""native_seed20260903"": 0.12891236306729265}",fraction,retrospective upper bound,Not a deployable selector; truth was used only after pool/ranking freeze.,project/geodata-3d-conditional/experiments/stage9_flow_prior_posterior/reports/stage9a_prior_support_v1/summary.json,cases[*].oracle_best_label9_iou.label9_iou,f801684109f85218742f85531887b7cd12d2cc794e4fef8069310f2e3cfb837b
full_structuralgeo_registered_cohort,Full StructuralGeo registered benchmark,prospectively registered geology-only cohort,no inference,fullgeo_label9_voxel_counts,Raw label-9 voxel counts,"{""fullgeo_case01"": 120, ""fullgeo_case02"": 16083, ""fullgeo_case03"": 1736, ""fullgeo_case04"": 13293, ""fullgeo_case05"": 4111}",voxels,cohort descriptor,,project/geodata-3d-conditional/experiments/full_structuralgeo_benchmark/cases/fullgeo_case01/manifest.json,raw_label_counts.9 for each registered case,7e63cc34f21a401a665bf6577f3031db8da6fce6e893c6a5fa16f79117226ee6
full_structuralgeo_registered_cohort,Full StructuralGeo registered benchmark,prospectively registered geology-only cohort,no inference,fullgeo_resolution,Model resolution,"[64, 64, 64]",voxels,method,,project/geodata-3d-conditional/experiments/full_structuralgeo_benchmark/cases/fullgeo_case01/manifest.json,resolution,7e63cc34f21a401a665bf6577f3031db8da6fce6e893c6a5fa16f79117226ee6
full_structuralgeo_registered_cohort,Full StructuralGeo registered benchmark,prospectively registered geology-only cohort,no inference,fullgeo_well_count,Fixed vertical wells,9,wells,method,,project/geodata-3d-conditional/experiments/full_structuralgeo_benchmark/cases/fullgeo_case01/manifest.json,condition_statistics.well_count,7e63cc34f21a401a665bf6577f3031db8da6fce6e893c6a5fa16f79117226ee6
stage12b_fullgeo_probability_bridge,Stage 12B FullGeo probability bridge,synthetic bridge-specificity gate,fixed seismic-to-property inversion and probability construction; no Flow forward,s12_diagonal_mean_auprc,Diagonal mean AUPRC,0.04176687121111301,AUPRC,primary,,project/geodata-3d-conditional/experiments/stage12b_fullgeo_probability_bridge/evaluation/stage12b_a/summary.json,diagonal_mean_auprc,d6b4119462a8349452dcc3e02e873262135bc5601d6c4b1e1ba8ea3b42ddf592
stage12b_fullgeo_probability_bridge,Stage 12B FullGeo probability bridge,synthetic bridge-specificity gate,fixed seismic-to-property inversion and probability construction; no Flow forward,s12_case_count,Registered FullGeo cases,5,cases,primary,,project/geodata-3d-conditional/experiments/stage12b_fullgeo_probability_bridge/evaluation/stage12b_a/summary.json,len(case_ids),d6b4119462a8349452dcc3e02e873262135bc5601d6c4b1e1ba8ea3b42ddf592
stage12b_fullgeo_probability_bridge,Stage 12B FullGeo probability bridge,synthetic bridge-specificity gate,fixed seismic-to-property inversion and probability construction; no Flow forward,s12_off_diagonal_mean_auprc,Off-diagonal mean AUPRC,0.04187063309937007,AUPRC,primary,,project/geodata-3d-conditional/experiments/stage12b_fullgeo_probability_bridge/evaluation/stage12b_a/summary.json,off_diagonal_mean_auprc,d6b4119462a8349452dcc3e02e873262135bc5601d6c4b1e1ba8ea3b42ddf592
stage12b_fullgeo_probability_bridge,Stage 12B FullGeo probability bridge,synthetic bridge-specificity gate,fixed seismic-to-property inversion and probability construction; no Flow forward,s12_diagonal_row_maxima,Diagonal row maxima,1,cases,primary,,project/geodata-3d-conditional/experiments/stage12b_fullgeo_probability_bridge/evaluation/stage12b_a/summary.json,diagonal_row_maximum_count,d6b4119462a8349452dcc3e02e873262135bc5601d6c4b1e1ba8ea3b42ddf592
stage12b_fullgeo_probability_bridge,Stage 12B FullGeo probability bridge,synthetic bridge-specificity gate,fixed seismic-to-property inversion and probability construction; no Flow forward,s12_correct_above_shuffled,Correct above shuffled,2,cases,primary,,project/geodata-3d-conditional/experiments/stage12b_fullgeo_probability_bridge/evaluation/stage12b_a/summary.json,correct_above_shuffled_count,d6b4119462a8349452dcc3e02e873262135bc5601d6c4b1e1ba8ea3b42ddf592
stage12b_fullgeo_probability_bridge,Stage 12B FullGeo probability bridge,synthetic bridge-specificity gate,fixed seismic-to-property inversion and probability construction; no Flow forward,s12_correct_above_constant,Correct above constant,2,cases,primary,,project/geodata-3d-conditional/experiments/stage12b_fullgeo_probability_bridge/evaluation/stage12b_a/summary.json,correct_above_constant_count,d6b4119462a8349452dcc3e02e873262135bc5601d6c4b1e1ba8ea3b42ddf592
stage12b_fullgeo_probability_bridge,Stage 12B FullGeo probability bridge,synthetic bridge-specificity gate,fixed seismic-to-property inversion and probability construction; no Flow forward,s12_post_above_prior,Post above prior,4,cases,primary,,project/geodata-3d-conditional/experiments/stage12b_fullgeo_probability_bridge/evaluation/stage12b_a/summary.json,post_ap_above_prior_count,d6b4119462a8349452dcc3e02e873262135bc5601d6c4b1e1ba8ea3b42ddf592
stage14_probability_guided_flow,Stage 14 probability-guided frozen Flow,paired synthetic end-to-end pilot,Stage-12B probability volumes through the frozen Phase-1 guidance interface,s14_overall_median_hidden_iou_delta,Overall median paired hidden-label9 IoU delta,-0.031507776294942384,fraction,primary,,project/geodata-3d-conditional/experiments/stage14_gansim_style_geo_guidance/reports/pilot_v1/summary.json,overall_paired_median_hidden_label9_iou_delta,dabcfd7afc26835d54064f063eb199ea9c6737916ceb080f0dd54ad4f21d54c7
stage14_probability_guided_flow,Stage 14 probability-guided frozen Flow,paired synthetic end-to-end pilot,Stage-12B probability volumes through the frozen Phase-1 guidance interface,s14_case_count,Registered FullGeo cases,5,cases,primary,,project/geodata-3d-conditional/experiments/stage14_gansim_style_geo_guidance/reports/pilot_v1/summary.json,n_cases,dabcfd7afc26835d54064f063eb199ea9c6737916ceb080f0dd54ad4f21d54c7
stage14_probability_guided_flow,Stage 14 probability-guided frozen Flow,paired synthetic end-to-end pilot,Stage-12B probability volumes through the frozen Phase-1 guidance interface,s14_pair_count,Paired runs,20,pairs,primary,,project/geodata-3d-conditional/experiments/stage14_gansim_style_geo_guidance/reports/pilot_v1/summary.json,n_pairs,dabcfd7afc26835d54064f063eb199ea9c6737916ceb080f0dd54ad4f21d54c7
stage14_probability_guided_flow,Stage 14 probability-guided frozen Flow,paired synthetic end-to-end pilot,Stage-12B probability volumes through the frozen Phase-1 guidance interface,s14_positive_case_count,Positive case medians,1,cases,primary,,project/geodata-3d-conditional/experiments/stage14_gansim_style_geo_guidance/reports/pilot_v1/summary.json,positive_case_count,dabcfd7afc26835d54064f063eb199ea9c6737916ceb080f0dd54ad4f21d54c7
stage14_probability_guided_flow,Stage 14 probability-guided frozen Flow,paired synthetic end-to-end pilot,Stage-12B probability volumes through the frozen Phase-1 guidance interface,s14_condition_violations,Hard-condition violations,0,voxels,primary,,project/geodata-3d-conditional/experiments/stage14_gansim_style_geo_guidance/reports/pilot_v1/summary.json,total_condition_violations,dabcfd7afc26835d54064f063eb199ea9c6737916ceb080f0dd54ad4f21d54c7
stage14_probability_guided_flow,Stage 14 probability-guided frozen Flow,paired synthetic end-to-end pilot,Stage-12B probability volumes through the frozen Phase-1 guidance interface,s14_per_case_hidden_iou_deltas,Per-case median hidden-label9 IoU delta,"{""fullgeo_case01"": -0.003025032313311691, ""fullgeo_case02"": -0.09314386533393552, ""fullgeo_case03"": 0.0013863164540872022, ""fullgeo_case04"": -0.16675911229162563, ""fullgeo_case05"": -0.031507776294942384}",fraction,primary,,project/geodata-3d-conditional/experiments/stage14_gansim_style_geo_guidance/reports/pilot_v1/summary.json,case_summaries.<case_id>.paired_delta_medians.hidden_label9_iou,dabcfd7afc26835d54064f063eb199ea9c6737916ceb080f0dd54ad4f21d54c7
